Time,Position+AF8-x,Position+AF8-y,Metrics
10703.7699890137,5,10,0
10708.8032341003,6,10,0
10710.7829270363,6,11,0
10712.7783520222,7,11,0
10716.7754230499,8,11,0
10721.8135099411,9,11,0
10724.8155429363,9,12,0
10725.8206350803,10,12,0
10729.8162479401,11,12,0
10753.8701050282,12,12,0
10755.8582520485,12,11,0
10758.878152132,12,10,0
10762.8734369278,12,9,0
10783.9012379646,11,9,0
10786.9112861156,10,9,0
10791.920331955,9,9,0
10796.9385900497,8,9,0
10797.9262671471,8,8,0
10799.9306199551,7,8,0
10802.9272429943,6,8,0
10807.9242920876,5,8,0
10811.9444339275,4,8,0
10816.944920063,3,8,0
10820.946308136,2,8,0
10821.9638779163,2,7,0
10824.9854869843,1,7,0
10828.9677450657,0,7,0
10838.9868359566,+AC0-1,7,0
10842.9788339138,+AC0-2,7,0
10846.9856929779,+AC0-3,7,0
10849.9845700264,+AC0-3,6,0
10852.0049090385,+AC0-4,6,0
10855.99725914,+AC0-5,6,0
10860.0113530159,+AC0-6,6,0
10865.0261781216,+AC0-7,6,0
